order_reference,order_document_number,delivery_reference,delivery_document_number,invoice_reference,invoice_document_number,client_name,operational_status,document_status,confidence,matching_rule,notes
26_81,26_81,127,127,26_81,N 43,BOSCO TECNOINDUSTRIA,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_81,client_exact,delivery_files=1,delivery_multi_refs=3 | client_exact,invoice_gap_days=0,invoice_files=1,invoice_status=accepted"
26_82,26_82,137,137,26_82,EX 18,GESCHMIDT,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_82,client_exact,delivery_files=1,delivery_multi_refs=4 | client_exact,invoice_gap_days=0,invoice_files=1,invoice_status=accepted"
26_83,26_83,,,,,GESTAMP SOFEDIT SERMAISES,confirmed,,,order_only,order_files=1
26_84,26_84,,,,,QUIMICA Y MEDIOAMBIENTE,confirmed,,,order_only,order_files=1
26_85,26_85,,,,,ONA ELECTROEROSIÓN,confirmed,,,order_only,order_files=1
26_86,26_86,,,,,GROUPE IMI,confirmed,,,order_only,order_files=1
26_87,26_87,120,120,26_87,N 38,EGAÑA 2,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_87,client_exact,delivery_files=1,delivery_multi_refs=3 | client_exact,invoice_gap_days=0,invoice_files=1,invoice_status=accepted"
26_88,26_88,,,,,ADIENT CALATORAO,confirmed,,,order_only,order_files=1
26_89,26_89,,,,,VKI,confirmed,,,order_only,order_files=1
26_9,26_9,25,25,26_9,N 5,EGAÑA 2,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_9,client_exact,delivery_files=1,delivery_multi_refs=2 | client_exact,invoice_gap_days=0,invoice_files=1,invoice_status=accepted"
26_90,26_90,,,,,CSIC,confirmed,,,order_only,order_files=1
26_91,26_91,,,,,AQUAJET SYSTEMS,confirmed,,,order_only,order_files=1
26_92,26_92,94,94,,,PROCON,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | matched_ref=26_92,client_exact,delivery_files=1,delivery_multi_refs=2"
26_93,26_93,,,,,UTE LAS LOMAS,confirmed,,,order_only,order_files=1
26_94,26_94,,,,,HORN GLASS INDUSTRIES,confirmed,,,order_only,order_files=1
26_95,26_95,,,,,HIJOS DE JUAN GARAY,confirmed,,,order_only,order_files=1
26_96,26_96,,,,,FRAUENTHAL GNOTEC SWEDEN,confirmed,,,order_only,order_files=1
26_97,26_97,,,,,CSIC,confirmed,,,order_only,order_files=1
26_98,26_98,,,,,CSIC,confirmed,,,order_only,order_files=1
26_99,26_99,,,,,ADIENT POLAND,confirmed,,,order_only,order_files=1
